"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"TX","13/IMP","[13.003]","","","","IMP","Impression Type","M","N","1","2","1","1","","","Data","IMP","","{4}","","","","","","","","","","","","","","Manner by which latent print was obtained.","","<biom:FingerprintImageImpressionCaptureCategoryCode>5</biom:FingerprintImageImpressionCaptureCategoryCode>","biom:FingerprintImageImpressionCaptureCategoryCode","http://niem.gov/niem/biometrics/1.0","biom:ImpressionCaptureCategoryCodeType","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:FingerprintImageImpressionCaptureCategoryCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:FingerprintImageImpressionCaptureCategoryCode
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:FingerprintImageImpressionCaptureCategoryCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:FingerprintImageImpressionCaptureCategoryCode
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:FingerprintImageImpressionCaptureCategoryCode 
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:FingerprintImageImpressionCaptureCategoryCode or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:FingerprintImageImpressionCaptureCategoryCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:FingerprintImageImpressionCaptureCategoryCode
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:FingerprintImageImpressionCaptureCategoryCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:FingerprintImageImpressionCaptureCategoryCode
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:FingerprintImageImpressionCaptureCategoryCode
endif","","","","",""
"X","13/SRC_13/SAN","[13.004_13.993]","","","","","Capture Organization (XML)","M","","","","1","1","","","Set_X","","","","","","","","","","","","","","","","","Identifier of agency that created record and supplied information contained in it.","","","biom:CaptureOrganization","http://niem.gov/niem/biometrics/1.0","nc:OrganizationType","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureOrganization or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization
endif","Applies to 13.004 and 13.993.","","","",""
"TX","13/SRC","[13.004]","","","","SRC","Source Agency","M","U","1","*","1","1","","","Data","","","","","","","","","","","","","","","","","Identifier of agency that created and supplied information contained in the record. The source agency name may be entered in 13.993.","","<nc:IdentificationID>WI013415Y</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureOrganization/nc:OrganizationIdentification/nc:IdentificationID
endif","","","","",""
"T","13/LCD:T","[13.005:T]","","","","LCD","Latent Capture Date","M","N","8","8","1","1","","","Data_T","","","","","","","","","","","","","","","","","Capture date of latent biometric data.","","20140118","","","","","","","","",""
"X","13/LCD:X","[13.005:X]","","","","LCD","Latent Capture Date (XML)","M","NS","10","10","1","1","[-]","","Data_X","","","","\d{4}-\d{2}-\d{2}","","","","","","","","","","","","","Capture date of latent biometric data.","","<nc:Date>2014-01-18</nc:Date>","nc:Date","http://niem.gov/niem/niem-core/2.0","niem-xsd:date","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:CaptureDate/nc:Date
endif","","","","",""
"TX","13/HLL","[13.006]","","","","HLL","Horizontal Line Length","M","N","2","5","1","1","","","Data","","","{10..99999}","","","","","","","","","","","","","","Number of pixels contained on a single horizontal line of the image.","","<biom:ImageHorizontalLineLengthPixelQuantity>80</biom:ImageHorizontalLineLengthPixelQuantity>","biom:ImageHorizontalLineLengthPixelQuantity","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageHorizontalLineLengthPixelQuantity
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageHorizontalLineLengthPixelQuantity
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageHorizontalLineLengthPixelQuantity
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageHorizontalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageHorizontalLineLengthPixelQuantity
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageHorizontalLineLengthPixelQuantity
endif","","","","",""
"TX","13/VLL","[13.007]","","","","VLL","Vertical Line Length","M","N","2","5","1","1","","","Data","","","{10..99999}","","","","","","","","","","","","","","Number of pixels contained on a single vertical line of the image.","","<biom:ImageVerticalLineLengthPixelQuantity>65</biom:ImageVerticalLineLengthPixelQuantity>","biom:ImageVerticalLineLengthPixelQuantity","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageVerticalLineLengthPixelQuantity
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageVerticalLineLengthPixelQuantity
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageVerticalLineLengthPixelQuantity
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageVerticalLineLengthPixelQuantity or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageVerticalLineLengthPixelQuantity
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageVerticalLineLengthPixelQuantity
endif","","","","",""
"TX","13/SLC","[13.008]","","","","SLC","Scale Units","M","N","1","1","1","1","","","Data","SLC","","{1..2}","","","","","","","","","","","","","","Image sampling frequency (pixel density).","","<biom:ImageScaleUnitsCode>1</biom:ImageScaleUnitsCode>","biom:ImageScaleUnitsCode","http://niem.gov/niem/biometrics/1.0","biom:ScaleUnitsCodeType","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageScaleUnitsCode
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageScaleUnitsCode
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageScaleUnitsCode
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageScaleUnitsCode or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageScaleUnitsCode
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageScaleUnitsCode
endif","For contact exemplar friction ridge images, a value of 1 or 2 shall be specified. A value of 1 or 2 shall be specified for latent friction ridge prints if the lifted latent print is transmitted directly from a scanner. If the latent print is contained in a photograph, a value of 1 or 2 shall be entered only if the image of the latent was captured with a scale measurement visible in the image and the pixels across an inch or centimeter can be calculated - given the known characteristics of the camera and its distance from the latent print. A value of 0 for a latent print indicates that the true ppi value of the image is not known. For non-contact images of body parts, SLC shall be set to 0 unless the object being imaged is a fixed distance from the capture device and the ppi or ppmm values for the capture device are accurately known at that fixed distance. (An example might be an iris capture device with a very small effective capture zone).","","","",""
"TX","13/THPS","[13.009]","","","","THPS","Transmitted Horizontal Pixel Scale","M","N","1","5","1","1","","","Data","","","","","","","","","","","","","","","Y","","Integer pixel density in the horizontal direction (if 13/SLC = 1 or 2); otherwise, if 13/SLC = 0, the horizontal component of the pixel aspect ratio.","If 13/SLC={1,2}, then THPS shall equal TVPS.","<biom:ImageHorizontalPixelDensityValue>1000</biom:ImageHorizontalPixelDensityValue>","biom:ImageHorizontalPixelDensityValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageHorizontalPixelDensityValue
endif","For example, if the SLC value = 1, then the value of THPS could be '1000' for a 1000 ppi sensor.","","","",""
"TX","13/TVPS","[13.010]","","","","TVPS","Transmitted Vertical Pixel Scale","M","N","1","5","1","1","","","Data","","","","","","","","","","","","","","","Y","","Integer pixel density in the vertical direction (if 13/SLC = 1 or 2); otherwise, if 13/SLC = 0, the vertical component of the pixel aspect ratio.","If 13/SLC={1,2}, then THPS shall equal TVPS.","<biom:ImageVerticalPixelDensityValue>1000</biom:ImageVerticalPixelDensityValue>","biom:ImageVerticalPixelDensityValue","http://niem.gov/niem/biometrics/1.0","niem-xsd:nonNegativeInteger","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCaptureDetail/biom:ImageVerticalPixelDensityValue
endif","","","","",""
"TX","13/CGA","[13.011]","","","","CGA","Compression Algorithm","M","AN","3","5","1","1","","","Data","CGA","","","","","","","","","","","","","","","","Algorithm used to compress the transmitted grayscale images.","","<biom:ImageCompressionAlgorithmText>NONE</biom:ImageCompressionAlgorithmText>","biom:ImageCompressionAlgorithmText","http://niem.gov/niem/biometrics/1.0","nc:TextType","if [13/IMP] IN {4..7} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCompressionAlgorithmText
elseif [13/IMP] IN {12..15} then
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCompressionAlgorithmText
elseif [13/IMP] IN {28, 29} then
    itl:PackageLatentImageRecord/biom:FingerImpressionImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:PalmprintImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCompressionAlgorithmText
elseif [13/IMP] IN {32..35} then
    itl:PackageLatentImageRecord/biom:PlantarImage/biom:ImageCompressionAlgorithmText or
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCompressionAlgorithmText
else
    itl:PackageLatentImageRecord/biom:FrictionRidgeImage/biom:ImageCompressionAlgorithmText
endif","Event if INTERPOL’s implementation allows lossy compression algorithms for latents, it is recommended to use lossless algorithms.","","","",""
